,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
64,#Person2# is being interviewed by #Person1#. #Person2# is equipped with a bunch of valuable office skills.,#Person1#: I have a good command of office skills. #Person2#: I have a good command of office skills. #Person1#: I have a good command of secretarial skills. #Person2#: I have a good command of English.,Find a job.,"#Person2# tells #Person1# #Person2# has a good command of secretarial skills, a good command of secretarial skills, and a good command of secretarial skills. #Person2# has a good command of secretarial skills and has a good command of secretarial skills. #Person2# also has special training in office skills. #Person2# also got special training in typing, shorthand, operating a fax machine, and other office equipment.","#Person2# tells #Person1# #Person2# has special skills and has passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. #Person2# also got special training in office skills and has passed the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English."
65,"#Person1# asks about #Person2#'s special skills, training, previous working experience and other qualification for the job.",I've got a good command of secretarial skills.,Find a job.,"#Person2# tells #Person1# #Person2# has a good command of secretarial skills, a good command of secretarial skills, and a good command of secretarial skills. #Person2# has a good command of secretarial skills and has a good command of secretarial skills. #Person2# also has special training in office skills. #Person2# also got special training in typing, shorthand, operating a fax machine, and other office equipment.","#Person2# tells #Person1# #Person2# has special skills and has passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. #Person2# also got special training in office skills and has passed the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English."
66,#Person1# is not satisfied with the steak and #Person2# will change it.,The steak is medium rare.,"#Person1#: I'm sorry, but I'm not sure what you're talking about.",#Person1# asks #Person2# to change the steak order and #Person2# will bring #Person1# another steak. #Person1# will bring #Person2# another steak.,#Person1# asks #Person2# to change the steak to be medium rare. #Person2# will bring another one if it isn't to #Person1#'s satisfaction.
67,#Person2# will change a steak for #Person1# as that one doesn't satisfy #Person1#.,The steak I asked for to be medium rare is not to your satisfaction.,"#Person1#: I'm sorry, but I'm not sure what you're talking about.",#Person1# asks #Person2# to change the steak order and #Person2# will bring #Person1# another steak. #Person1# will bring #Person2# another steak.,#Person1# asks #Person2# to change the steak to be medium rare. #Person2# will bring another one if it isn't to #Person1#'s satisfaction.
68,"#Person1# is not satisfied with #Person1#'s steak and asks to change one, and #Person2# agrees.","I'm sorry, but I'm not sure about the steak.","#Person1#: I'm sorry, but I'm not sure what you're talking about.",#Person1# asks #Person2# to change the steak order and #Person2# will bring #Person1# another steak. #Person1# will bring #Person2# another steak.,#Person1# asks #Person2# to change the steak to be medium rare. #Person2# will bring another one if it isn't to #Person1#'s satisfaction.
69,#Person1# congratulates Tom for achieving the Nobel Prize.,The Nobel Prize is awarded to the best novel of all time.,"Tom, Congratulations!",Tom's novel won The Nobel Prize. Tom's proud of Tom. Tom's proud of Tom.,Tom's novel has won the Nobel Prize. #Person1# compliments Tom and they celebrate.
70,#Person1# tells Tom that his novel has won the Nobel Prize.,"Tom, I'm really proud of you.","Tom, Congratulations!",Tom's novel won The Nobel Prize. Tom's proud of Tom. Tom's proud of Tom.,Tom's novel has won the Nobel Prize. #Person1# compliments Tom and they celebrate.
71,#Person2# tells Tom he won the Nobel Prize.,"Tom, I'm really proud of you.","Tom, Congratulations!",Tom's novel won The Nobel Prize. Tom's proud of Tom. Tom's proud of Tom.,Tom's novel has won the Nobel Prize. #Person1# compliments Tom and they celebrate.
72,#Person1# is interviewing #Person2# about #Person2#'s ability and previous experience.,"Then, go to the ER.",Obtain a job in the automotive industry.,#Person2# tells #Person1# #Person2# is a student engineer who mainly took charge of understanding of mechanical strength and corrosion resistance of various materials.,#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s master's degree in science. #Person2# is a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.
73,#Person1# asks #Person2# about #Person2#'s capacities and past working experience during an interview.,Is there anything else I can do?,Obtain a job in the automotive industry.,#Person2# tells #Person1# #Person2# is a student engineer who mainly took charge of understanding of mechanical strength and corrosion resistance of various materials.,#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s master's degree in science. #Person2# is a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.
74,#Person1# asks #Person2# about #Person2#'s qualification for the job.,I have a degree in mechanical engineering.,Obtain a job in the automotive industry.,#Person2# tells #Person1# #Person2# is a student engineer who mainly took charge of understanding of mechanical strength and corrosion resistance of various materials.,#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s master's degree in science. #Person2# is a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.
75,"#Person1# and #Person2# are talking about some personal facts of drinking. #Person2# drinks a lot, while #Person1# cannot drink much for health reasons. They decide to have a drink together tomorrow night.","If you're a beer drinker, you can't drink too much.",Drink a lot of beer.,#Person1# drinks a lot and drinks a lot. #Person2# tells #Person1# #Person1# usually drinks all night long and drinks at least 10 drinks. #Person1# likes beer but #Person2# gets a headache when drinking more than 3. #Person1# suggests going out tomorrow night.,#Person2# and #Person1# are drinking couple times a week and #Person1# drinks at least 10 drinks. They usually go to places that have specials and #Person1# likes beer but #Person1# gets a headache when drinking more than 3. They will go out tomorrow night.
76,"#Person2#, a heavy drinker, invites #Person1#, a light drinker to go out the next day. #Person2# chooses a place that has a special on pitchers.",I'm a big drinker.,Drink a lot of beer.,#Person1# drinks a lot and drinks a lot. #Person2# tells #Person1# #Person1# usually drinks all night long and drinks at least 10 drinks. #Person1# likes beer but #Person2# gets a headache when drinking more than 3. #Person1# suggests going out tomorrow night.,#Person2# and #Person1# are drinking couple times a week and #Person1# drinks at least 10 drinks. They usually go to places that have specials and #Person1# likes beer but #Person1# gets a headache when drinking more than 3. They will go out tomorrow night.
